"","pvalue","log2FoldChange","padj","Regulation"
"ENSG00000257193",0.000100631005205599,6.47576977973744,0.00103296287140642,"Up"
"ENSG00000175514",0.000204002556808816,6.4333531283218,0.00184409381085744,"Up"
"ENSG00000288086",0.000777885380382667,6.27560386940881,0.00561111520906845,"Up"
"ENSG00000138892",2.51801952819912e-05,6.2565245049969,0.000317714319132794,"Up"
"ENSG00000255202",0.000385511904798252,6.24988164762645,0.00313341971527346,"Up"
"ENSG00000111331",2.57739123282999e-32,6.1130207392171,1.80993509044261e-29,"Up"
"ENSG00000139626",8.6289747145476e-05,6.10977895131948,0.000911616815418312,"Up"
"ENSG00000163739",3.18908750677935e-33,6.06282529153845,2.37945791599574e-30,"Up"
"ENSG00000262983",5.22820551863163e-05,6.04957263376317,0.000592166200013514,"Up"
"ENSG00000126545",0.000102980225794604,6.04765995476302,0.00105345153002226,"Up"
"ENSG00000233975",5.85230131434518e-10,6.00601418190292,2.46436589385018e-08,"Up"
"ENSG00000107159",6.47188230905323e-36,5.96932594485661,7.72613310054775e-33,"Up"
"ENSG00000163606",7.00754875242765e-20,5.94078620475305,1.52102030920875e-17,"Up"
"ENSG00000137959",5.20638310563743e-20,5.94047764168245,1.1509963243537e-17,"Up"
"ENSG00000100453",0.00120298443613046,5.90831181707164,0.00807083776113871,"Up"
"ENSG00000134326",8.91291294105023e-15,5.83080924496203,9.09421834959467e-13,"Up"
"ENSG00000260314",2.11948010802554e-47,5.69952837845986,7.22924386560254e-44,"Up"
"ENSG00000169403",9.45740320347677e-22,5.68491302255085,2.53713436950799e-19,"Up"
"ENSG00000230432",0.000327609556183785,5.68341277799487,0.00274842085855377,"Up"
"ENSG00000081041",4.50743038619869e-70,5.60802506309258,1.0761940790088e-65,"Up"
"ENSG00000233308",1.22364192902397e-10,5.55339220601608,5.86660134485470e-09,"Up"
"ENSG00000169245",8.61952623863358e-10,5.53019950593193,3.4822302618209e-08,"Up"
"ENSG00000113600",1.9704275424593e-06,5.49780656919299,3.5135121735443e-05,"Up"
"ENSG00000134321",1.0635486861618e-06,5.45235958426868,2.05281232261916e-05,"Up"
"ENSG00000144410",0.000112155873099751,5.44747524067858,0.00112941106121031,"Up"
"ENSG00000108688",5.61755760908334e-22,5.44631309517351,1.57793888793499e-19,"Up"
"ENSG00000183598",4.71158024788951e-09,5.43696286869744,1.65675537553181e-07,"Up"
"ENSG00000283473",0.000838372771697908,5.42938579522769,0.00597343727157841,"Up"
"ENSG00000115008",2.33721759983512e-12,5.36091205766912,1.55441246277614e-10,"Up"
"ENSG00000119917",8.39709689926045e-17,5.34103931148894,1.19338741408775e-14,"Up"
"ENSG00000260836",1.00634393781728e-08,5.31875281867791,3.26017202975922e-07,"Up"
"ENSG00000183486",1.72346083221171e-05,5.30194338906738,0.000230013140468904,"Up"
"ENSG00000124253",4.06788543277235e-11,5.30042100119896,2.14403603957776e-09,"Up"
"ENSG00000163806",1.22762894606267e-50,5.20523409187689,4.88514478603207e-47,"Up"
"ENSG00000118503",1.46546842505354e-31,5.18175020652283,9.71931225460507e-29,"Up"
"ENSG00000256249",0.000491013828654916,5.11609886192129,0.00382369412034076,"Up"
"ENSG00000158714",1.89709102161438e-07,5.04911344528805,4.51144872829332e-06,"Up"
"ENSG00000119913",0.000364717129563227,5.04787443464886,0.00300171878161034,"Up"
"ENSG00000136881",7.02300059938557e-18,5.03871670035553,1.14068817898592e-15,"Up"
"ENSG00000174898",4.66632207952404e-05,5.03560516995195,0.000537448653983194,"Up"
"ENSG00000254814",0.0012058465700869,5.03020960993188,0.00808503024639,"Up"
"ENSG00000131386",5.97248297031979e-41,4.99589471507217,9.10882504981313e-38,"Up"
"ENSG00000182393",5.80499370251893e-06,4.99504023445273,8.95927793415268e-05,"Up"
"ENSG00000131096",8.48338510697859e-10,4.94738769202679,3.43886761993584e-08,"Up"
"ENSG00000226800",0.00101391934241664,4.89574801348165,0.00701284421191766,"Up"
"ENSG00000149781",2.41779199901802e-34,4.84441677847466,2.13804450994646e-31,"Up"
"ENSG00000119915",8.08709302792233e-05,4.83854190330643,0.000863925875322924,"Up"
"ENSG00000170961",1.20560515354064e-25,4.79262050265387,4.96293597343729e-23,"Up"
"ENSG00000185955",2.14625114561369e-16,4.78738368579374,2.91158479276549e-14,"Up"
"ENSG00000108924",4.66324361165852e-16,4.75910161781981,6.05106546043254e-14,"Up"
"ENSG00000285231",3.19283795193304e-10,4.75896605058867,1.41695537063854e-08,"Up"
"ENSG00000224655",1.55670108755192e-15,4.75445318508061,1.88669010996902e-13,"Up"
"ENSG00000285763",4.25344613852181e-25,4.73797652927163,1.58680125005229e-22,"Up"
"ENSG00000272442",1.15106476935585e-05,4.72124711588091,0.000163393712444353,"Up"
"ENSG00000163545",8.20209720000315e-56,4.66481949295985,9.79166363736376e-52,"Up"
"ENSG00000225083",0.000231593064346678,4.62124021592042,0.0020472106643248,"Up"
"ENSG00000163464",6.15530520497363e-15,4.60911688217557,6.50283482628099e-13,"Up"
"ENSG00000284791",1.94686469958931e-06,4.60325340706486,3.47409129801153e-05,"Up"
"ENSG00000158865",1.44834344154577e-05,4.59436752032666,0.00019851118260819,"Up"
"ENSG00000166923",3.36332822444245e-20,4.56237406733976,7.50493688661569e-18,"Up"
"ENSG00000286098",7.47115108636572e-14,4.55867345167972,6.51026289554992e-12,"Up"
"ENSG00000259399",2.88091425122318e-41,4.55644327884712,5.29113143555421e-38,"Up"
