"","PValue","logFC","FDR","Regulation"
"ENSG00000285763",1.77798315047741e-06,4.7351488834658,0.000718776902608305,"Up"
"ENSG00000224655",3.12449554316069e-05,4.72400109467986,0.0022084218150826,"Up"
"ENSG00000285231",8.59475933991881e-05,4.70358912324926,0.00354337652504095,"Up"
"ENSG00000163545",8.346508982375e-08,4.68226711261321,0.000488520956904447,"Up"
"ENSG00000166923",2.05060586152002e-05,4.57801779583915,0.00190847506251101,"Up"
"ENSG00000163464",1.55933615102237e-05,4.57757799049659,0.00177402159110602,"Up"
"ENSG00000259399",3.13746779581488e-07,4.57063522864389,0.000513555357890018,"Up"
"ENSG00000286098",0.000108633904630268,4.5705929842868,0.00390573664850111,"Up"
"ENSG00000108771",0.00056554595035555,4.51904639571982,0.00927392361804064,"Up"
"ENSG00000284791",0.000171275450410302,4.48293665817233,0.00493138865868846,"Up"
"ENSG00000185507",2.15305937677514e-05,4.48117819231729,0.0019451543874598,"Up"
"ENSG00000153234",1.32381074068295e-07,4.46958429523134,0.000488520956904447,"Up"
"ENSG00000130513",4.94202350242282e-06,4.4661600957667,0.00105265100601606,"Up"
"ENSG00000173432",0.000650728383582013,4.40526313210951,0.00993532466537104,"Up"
"ENSG00000287901",0.000117143182406483,4.40169487640184,0.00409152818532287,"Up"
"ENSG00000266086",1.7810126785699e-05,4.38144341871804,0.00182597358655389,"Up"
"ENSG00000204361",3.69439361293721e-05,4.37112288215333,0.00239157657119847,"Up"
"ENSG00000129226",0.000212040739353865,4.35358464800232,0.00561510893461027,"Up"
"ENSG00000135318",1.06162282621896e-06,4.33701590564334,0.000637263229229433,"Up"
"ENSG00000125780",0.00011077473113541,4.31175639310778,0.00396089647845006,"Up"
"ENSG00000172183",3.63318904802621e-05,4.25072908539661,0.0023834577045078,"Up"
"ENSG00000010818",0.000217128146329405,4.24747608766738,0.00567426312749233,"Up"
"ENSG00000105509",6.68967278418553e-06,4.23134451592239,0.00119433567025256,"Up"
"ENSG00000128242",8.47466388530241e-05,4.15742110797233,0.0035342024611359,"Up"
"ENSG00000123358",6.0839846859168e-07,4.14137418222563,0.000523989794101417,"Up"
"ENSG00000015520",2.24183627302047e-05,4.10713490025474,0.00195385444980771,"Up"
"ENSG00000137965",0.000184249097783828,4.09293542060414,0.00517700762836857,"Up"
"ENSG00000288022",7.77622565750071e-06,4.08215640456329,0.00128366045041193,"Up"
"ENSG00000119922",0.000354674980940415,4.0567542931626,0.00721330256411569,"Up"
"ENSG00000255931",0.000123236243567834,4.04879198873709,0.0041570826858308,"Up"
"ENSG00000173110",3.84595013269856e-05,4.04806017143435,0.00247236203445828,"Up"
"ENSG00000105507",8.70452257562036e-05,4.03121273493136,0.00354337652504095,"Up"
"ENSG00000166589",5.73823929623996e-05,4.02952296380643,0.00291850103082543,"Up"
"ENSG00000223485",0.000533839494880164,3.99544823671706,0.00896229927740636,"Up"
"ENSG00000147443",0.00032068962746213,3.97716660982958,0.00687131904985806,"Up"
"ENSG00000213085",0.000479647870062067,3.95355930557866,0.00853853370316815,"Up"
"ENSG00000163734",7.68166724903078e-06,3.94360456571722,0.00128366045041193,"Up"
"ENSG00000101049",0.00022061274273157,3.91414627801478,0.00570511464852439,"Up"
"ENSG00000198829",4.13189778383992e-07,3.90709275422169,0.000513555357890018,"Up"
"ENSG00000169067",4.5208651303303e-05,3.90651017698371,0.00266529218353312,"Up"
"ENSG00000125740",1.27680751127364e-06,3.90606949804993,0.00064977773843464,"Up"
"ENSG00000163874",2.43646226943787e-07,3.9036899960741,0.000513555357890018,"Up"
"ENSG00000214788",0.000141977354589201,3.89405696429686,0.004415379027663,"Up"
"ENSG00000041982",0.000319485889331882,3.89303025156728,0.00687131904985806,"Up"
"ENSG00000134668",5.31157411486341e-07,3.87420278301716,0.000513555357890018,"Up"
"ENSG00000198768",0.000328631246820847,3.85016819515543,0.00694755215397455,"Up"
"ENSG00000169429",9.84058280233465e-05,3.83343136036897,0.00371476993940744,"Up"
"ENSG00000023445",4.22868233195217e-07,3.82690755372259,0.000513555357890018,"Up"
"ENSG00000100368",0.000118296060566259,3.8254278717984,0.00409152818532287,"Up"
"ENSG00000230825",4.58648815276486e-05,3.82036794380709,0.00266871996271879,"Up"
"ENSG00000122862",0.000117923929678681,3.7982767553787,0.00409152818532287,"Up"
"ENSG00000175311",9.16646273488308e-05,3.79389952546183,0.00359561307555047,"Up"
"ENSG00000119508",1.58964525266282e-06,3.76776342897995,0.000683812941256888,"Up"
"ENSG00000179165",0.000256933175605163,3.73898354451662,0.00615427965606128,"Up"
"ENSG00000140968",7.9698239295013e-07,3.73680296106395,0.000588268088972183,"Up"
"ENSG00000041353",9.04783012773886e-05,3.73257601837682,0.00359176774866217,"Up"
"ENSG00000198910",0.000379546993559109,3.71267767557257,0.00748623045903259,"Up"
"ENSG00000100593",0.000616206726635729,3.70093271015098,0.00966589736962021,"Up"
"ENSG00000159167",2.43294323271604e-05,3.68854704229845,0.00195952623907516,"Up"
"ENSG00000120279",5.97034291924068e-05,3.68529990717601,0.00297576853850751,"Up"
"ENSG00000150275",1.72259217827422e-05,3.66955994607191,0.00182597358655389,"Up"
"ENSG00000157303",0.000497413134138928,3.66925360461147,0.00874290751921741,"Up"
"ENSG00000205413",0.00054226986582247,3.64470871176158,0.00904955667403311,"Up"
"ENSG00000142583",8.31516305276446e-07,3.62463433906982,0.000588268088972183,"Up"
"ENSG00000168404",0.000126705500892732,3.62234470643855,0.00422543647674095,"Up"
"ENSG00000221955",9.71828253330814e-07,3.60722313808467,0.00062099825387839,"Up"
"ENSG00000181472",3.87186372274317e-07,3.60634745411696,0.000513555357890018,"Up"
"ENSG00000124216",1.58800134683791e-05,3.60554035823856,0.00177402159110602,"Up"
"ENSG00000204516",4.84867302912654e-07,3.60386900083149,0.000513555357890018,"Up"
"ENSG00000101096",3.60478510747213e-06,3.59497930680792,0.000974552630091983,"Up"
"ENSG00000166268",1.51438942470789e-06,3.59165641992611,0.000683812941256888,"Up"
"ENSG00000164236",1.37130112510712e-05,3.57935640805231,0.00164630933256042,"Up"
"ENSG00000106366",1.89789974866031e-06,3.55430850182707,0.000730509933098101,"Up"
"ENSG00000197748",5.78522259190148e-05,3.54108597339577,0.00292543969250848,"Up"
"ENSG00000184979",0.000461083667165968,3.51793783624702,0.0083295069190244,"Up"
"ENSG00000163661",2.74949603159265e-06,3.51696650092747,0.000907746114830315,"Up"
"ENSG00000189325",0.000362099124637975,3.46872349807349,0.00730429894088966,"Up"
"ENSG00000176749",0.00029299507980533,3.45466905552409,0.00656554246138436,"Up"
"ENSG00000171388",0.000248536093748947,3.41692090391211,0.00605564694920849,"Up"
"ENSG00000054356",4.03195187929851e-06,3.41006960741742,0.00101406445195285,"Up"
"ENSG00000106785",0.000214929971814967,3.40917371217103,0.00562966071547531,"Up"
"ENSG00000185022",5.04878108254499e-07,3.36343546376976,0.000513555357890018,"Up"
"ENSG00000126368",1.46466083311109e-06,3.35829207487212,0.000683812941256888,"Up"
"ENSG00000100625",3.04640063116352e-06,3.35314979029046,0.000914335607616941,"Up"
